room_type,neighbourhood_cleansed,latitude,longitude,price,last_review
Private room,Outer Richmond,37.78089,-122.50488,89.0,2023-04-28
Entire home/apt,Excelsior,37.72525,-122.43228,112.0,2023-04-29
Entire home/apt,Western Addition,37.78674,-122.42996,180.0,2023-05-03
Entire home/apt,Potrero Hill,37.76138,-122.4038,159.0,2023-05-24
Entire home/apt,Castro/Upper Market,37.76023,-122.43581,133.0,2023-05-04
Entire home/apt,Marina,37.80028,-122.44657,200.0,2023-05-20
Private room,Russian Hill,37.80061,-122.41355,77.0,2023-05-10
Private room,Western Addition,37.7699,-122.42917,90.0,2023-04-07
Entire home/apt,Outer Sunset,37.75693,-122.50463,530.0,2023-05-29
Entire home/apt,Haight Ashbury,37.77024,-122.44839,980.0,2023-01-12
Entire home/apt,Chinatown,37.79102,-122.40698,123.0,2023-04-29
Entire home/apt,Outer Sunset,37.7569,-122.48762,142.0,2023-03-28
Entire home/apt,Noe Valley,37.75251,-122.43317,100.0,2023-04-26
Private room,Bernal Heights,37.73835,-122.41134,77.0,2023-05-28
Private room,Noe Valley,37.75223,-122.44055,95.0,2023-03-16
Entire home/apt,Inner Richmond,37.7867,-122.46392,275.0,2023-05-28
Private room,Downtown/Civic Center,37.78578,-122.40757,64.0,2023-03-05
Entire home/apt,Nob Hill,37.79649,-122.41293,127.0,2023-05-01
Entire home/apt,Nob Hill,37.79401,-122.42084,107.0,2023-01-14
Entire home/apt,Mission,37.75903,-122.41457,500.0,2023-04-06
Entire home/apt,North Beach,37.799271,-122.404549,450.0,2023-04-18
Entire home/apt,Russian Hill,37.79688,-122.42296,139.0,2023-05-02
Entire home/apt,Outer Richmond,37.77988,-122.48488,145.0,2023-04-29
Private room,Downtown/Civic Center,37.78729,-122.40818,77.0,2023-04-17
Private room,Potrero Hill,37.75362,-122.4018,78.0,2023-02-07
Entire home/apt,West of Twin Peaks,37.73409,-122.44838,106.0,2023-06-03
Entire home/apt,Castro/Upper Market,37.76237,-122.42872,175.0,2023-02-20
Entire home/apt,Marina,37.79811,-122.44181,395.0,2023-04-28
Entire home/apt,Mission,37.75964,-122.41728,150.0,2023-05-15
Entire home/apt,Parkside,37.7391,-122.49601,142.0,2023-06-02
Private room,Inner Sunset,37.76459,-122.46495,128.0,2023-05-31
Entire home/apt,Bernal Heights,37.73782,-122.41694,85.0,2023-05-28
Entire home/apt,Outer Sunset,37.74953842163086,-122.48870849609376,187.0,2023-06-03
Entire home/apt,Bernal Heights,37.73887,-122.41898,81.0,2023-04-10
Private room,Outer Sunset,37.75196,-122.48953,100.0,2023-05-28
Entire home/apt,Mission,37.7563,-122.41114,140.0,2023-02-05
Private room,Potrero Hill,37.76095,-122.40534,130.0,2023-06-02
Private room,Potrero Hill,37.76283,-122.40393,115.0,2023-05-23
Private room,Downtown/Civic Center,37.78705,-122.40982,64.0,2023-04-12
Private room,Marina,37.7975,-122.42544,102.0,2023-05-21
Entire home/apt,Glen Park,37.7398,-122.42603,764.0,2023-04-15
Entire home/apt,Outer Sunset,37.75842,-122.49828,265.0,2023-06-02
Private room,Inner Sunset,37.7637,-122.47129,58.0,2023-05-15
Entire home/apt,Inner Richmond,37.77614,-122.47758,425.0,2023-04-01
Private room,Pacific Heights,37.7971,-122.42438,140.0,2023-05-21
Private room,Marina,37.79909,-122.42424,140.0,2023-05-18
Private room,Russian Hill,37.79934,-122.42407,136.0,2023-05-21
Entire home/apt,Nob Hill,37.79455,-122.41029,160.0,2023-04-23
Private room,Financial District,37.78999,-122.40495,141.0,2023-05-18
Private room,Bernal Heights,37.74152,-122.40965,177.0,2023-01-11
Entire home/apt,Excelsior,37.72492,-122.40852,141.0,2023-05-28
Entire home/apt,Potrero Hill,37.76427,-122.39312,140.0,2023-03-15
Private room,Downtown/Civic Center,37.77864,-122.42226,338.0,2023-03-23
Entire home/apt,Castro/Upper Market,37.76425,-122.44025,101.0,2023-05-16
Private room,Castro/Upper Market,37.76416,-122.43048,66.0,2023-05-15
Entire home/apt,Mission,37.75188,-122.4119,172.0,2023-05-05
Entire home/apt,Pacific Heights,37.79225,-122.4338,149.0,2023-03-20
Entire home/apt,West of Twin Peaks,37.73363,-122.46524,235.0,2023-05-20
Private room,Bernal Heights,37.73657,-122.4168,115.0,2023-05-14
Entire home/apt,Potrero Hill,37.76077,-122.39654,450.0,2023-01-13
Entire home/apt,Western Addition,37.7782,-122.44126,175.0,2023-05-26
Entire home/apt,Bayview,37.73552,-122.40474,135.0,2023-05-24
Entire home/apt,Pacific Heights,37.78981,-122.44104,495.0,2023-01-11
Entire home/apt,Noe Valley,37.74794,-122.43881,204.0,2023-01-01
Entire home/apt,Parkside,37.74562,-122.50176,180.0,2023-05-13
Entire home/apt,Visitacion Valley,37.71907,-122.40276,154.0,2023-05-22
Private room,Mission,37.749,-122.42244,85.0,2023-05-14
Entire home/apt,Inner Sunset,37.75975,-122.46579,143.0,2023-05-15
Entire home/apt,Castro/Upper Market,37.75803,-122.44189,194.0,2023-03-08
Private room,Bayview,37.72868,-122.38836,52.0,2023-05-16
Entire home/apt,Nob Hill,37.78943,-122.41845,103.0,2023-03-26
Entire home/apt,Mission,37.76119,-122.42115,574.0,2023-05-21
Private room,Marina,37.80028,-122.44278,227.0,2023-05-18
Entire home/apt,Mission,37.75624,-122.411,59.0,2023-05-17
Private room,Downtown/Civic Center,37.78603,-122.40785,70.0,2023-05-08
Entire home/apt,Nob Hill,37.79107,-122.41131,126.0,2023-03-20
Entire home/apt,Inner Richmond,37.77946,-122.46164,394.0,2023-04-06
Entire home/apt,Bernal Heights,37.73771,-122.4164,190.0,2023-05-18
Private room,Downtown/Civic Center,37.78555,-122.40942,69.0,2023-02-26
Entire home/apt,Noe Valley,37.75184,-122.43703,178.0,2023-01-31
Entire home/apt,Mission,37.75748,-122.42204,333.0,2023-04-24
Private room,Mission,37.75145,-122.40719,69.0,2023-05-28
Entire home/apt,Outer Sunset,37.7642,-122.50583,117.0,2023-02-17
Entire home/apt,North Beach,37.80693,-122.41302,200.0,2023-02-20
Entire home/apt,Downtown/Civic Center,37.78952,-122.4133,239.0,2023-05-08
Entire home/apt,Seacliff,37.78023,-122.50839,175.0,2023-01-31
